id,companyId,number,product,product_en,name,product_img
50,16,1,适用于婴儿儿童及母亲的头发护理产品,"Skin & Hair care for Baby, Kid, Mom.","BEBEBALM, INC.","SME/BEBEBALM, INC./1.jpg"
51,16,2,应对瘙痒的油,Oil for Itchy rash,"BEBEBALM, INC.","SME/BEBEBALM, INC./2.jpg"
52,16,3,有助于改善睡眠以及缓解压力的精油,Sleep and stress essential oils,"BEBEBALM, INC.","SME/BEBEBALM, INC./3.jpg"
53,16,4,洗发皂,Shampoo bar,"BEBEBALM, INC.","SME/BEBEBALM, INC./4.jpg"
54,16,5,用于快速缓解症状的深色薄荷膏,. Deep mint rub for quick relief
,"BEBEBALM, INC.","SME/BEBEBALM, INC./5.jpg"
55,17,1,鞋履,FOOTWARE,MAYO trading company ltd,SME/MAYO trading company ltd/1.jpg
56,17,2,包袋
,BAGS,MAYO trading company ltd,SME/MAYO trading company ltd/2.jpg
57,17,3, 钱包,WALLETS,MAYO trading company ltd,SME/MAYO trading company ltd/3.jpg
58,17,4,学童鞋履及皮革配饰,SCHOOL SHOES & LEATHER ACCESSORIES,MAYO trading company ltd,SME/MAYO trading company ltd/4.jpg
59,18,1,手工皂
,Handmade soap,The Empress Kingdom,SME/The Empress Kingdom/1.jpg
60,18,2,糖蜡,Sugar wax,The Empress Kingdom,SME/The Empress Kingdom/2.jpg
61,18,3,身体磨砂膏,Body Scrubs,The Empress Kingdom,SME/The Empress Kingdom/3.jpg
62,18,4,香水油,perfume oil,The Empress Kingdom,SME/The Empress Kingdom/4.jpg
63,18,5,润唇膏,lip balm ,The Empress Kingdom,SME/The Empress Kingdom/5.jpg
64,18,6,沐浴泡澡球,bath soak,The Empress Kingdom,SME/The Empress Kingdom/6.jpg
65,18,7,固体香水,solid perfume,The Empress Kingdom,SME/The Empress Kingdom/7.jpg
66,18,8,精油,Essential oils,The Empress Kingdom,SME/The Empress Kingdom/8.jpg
67,19,1,化妆品,cosmetic,El bochra company,SME/El bochra company/1.jpg
68,19,2,  食品,food ,El bochra company,SME/El bochra company/2.jpg
69,22,1,椰子精华,COCONUT SERUM,Mekong Coconut Oil Company Limited,SME/Mekong Coconut Oil Company Limited/1.jpg
70,22,2,
椰子护发精华液,COCONUT HAIR SERUM,Mekong Coconut Oil Company Limited,SME/Mekong Coconut Oil Company Limited/2.jpg
71,23,1,手工串珠耳饰,Handbeaded earrings,Authentic Crafts Limited (Namayo jewellery brand name),SME/Authentic Crafts Limited (Namayo jewellery brand name)/1.jpg
72,23,2,戒指,rings,Authentic Crafts Limited (Namayo jewellery brand name),SME/Authentic Crafts Limited (Namayo jewellery brand name)/2.jpg
73,23,3,
项链,necklaces,Authentic Crafts Limited (Namayo jewellery brand name),SME/Authentic Crafts Limited (Namayo jewellery brand name)/3.jpg
74,24,1,野外探险,Wilderness Safaris,Eana Safari Travel,SME/Eana Safari Travel/1.jpg
75,24,2,钻石之旅,Diamond Tourism,Eana Safari Travel,SME/Eana Safari Travel/2.jpg
76,24,3,博茨瓦纳邮票,Botswana Postage Stamps,Eana Safari Travel,SME/Eana Safari Travel/3.jpg
77,26,1,旅游软件,Travada,APP COMPANY LIMITED,SME/APP COMPANY LIMITED/1.jpg
78,26,2,数字销售平台,Mindsmend ,APP COMPANY LIMITED,SME/APP COMPANY LIMITED/2.jpg
79,27,1,木薯/树薯,cassava/ manioc,GBNM Systèmes Marketing Digital,SME/GBNM Systèmes Marketing Digital/1.jpg
80,27,2,艺术产品,artistic products ,GBNM Systèmes Marketing Digital,SME/GBNM Systèmes Marketing Digital/2.jpg
81,29,1,提供端到端的综合技术解决方案的专家：从数字化到统一通信、IT管理、网络安全、SaaS/ PaaS/ MSP解决方案和IT外包。,"Experts in delivering end‑to‑end, integrated tech solutions: from transformation digital to unified communications, IT management, cybersecurity, SaaS/PaaS/MSP solutions and IT outsourcing. ",KYRIOS CONSULTING INTEGRADORES TECNOLOGICOS KYRIOSCONS S.A,SME/KYRIOS CONSULTING INTEGRADORES TECNOLOGICOS KYRIOSCONS S.A/1.jpg
82,30,1,忠诚度项目,Loyalty programs ,Promotick,SME/Promotick/1.jpg
83,30,2,激励平台,Incentive platforms ,Promotick,SME/Promotick/2.jpg
84,30,3,全球采购服务,Global sourcing service,Promotick,SME/Promotick/3.jpg
85,31,1,女性滑板车 & 自行车培训,Women' scooter & bicycle training ,Dosy,SME/Dosy/1.jpg
86,31,2,环保服务,eco-friendly services ,Dosy,SME/Dosy/2.jpg
87,32,1,优质有机咖啡,Premium organic coffee ,Grupo Gurús S.,SME/Grupo Gurús S./1.jpg
88,32,2,优质有机巧克力,fine organic chocolate ,Grupo Gurús S.,SME/Grupo Gurús S./2.jpg
89,32,3,正宗手工纺织品,authentic handcrafted textiles,Grupo Gurús S.,SME/Grupo Gurús S./3.jpg
90,32,4,特产工艺娃娃,unique artisan dolls ,Grupo Gurús S.,SME/Grupo Gurús S./4.jpg
91,33,1,融合了AI驱动的NDVI与NDWI的卫星作物诊断,Satellite-based crop diagnostics with AI-driven NDVI &NDWI insights,Rootskart,SME/Rootskart/1.jpg
92,35,1,导游&野生观光,Tours & Safaris ,ASARAY TOURS LTD,SME/ASARAY TOURS LTD/1.jpg
93,37,1, 人力资源管理与外包服务,Manpower management & Outsourcing Services,ZHONGKEN INTERNATIONAL HUMAN RESOURCES CONSULTING LTD,SME/ZHONGKEN INTERNATIONAL HUMAN RESOURCES CONSULTING LTD/1.jpg
94,38,1,由社区主导的恢复项目所产生的售前碳信用额度,Pre-sale carbon credits from community-led restoration projects,Sustainable Farming Solutions,SME/Sustainable Farming Solutions/1.jpg
95,39,1,战略品牌管理,Strategic Brand management,Sphere Media Technologies Co Ltd,SME/Sphere Media Technologies Co Ltd/1.jpg
96,39,2,数字营销,digital marketing,Sphere Media Technologies Co Ltd,SME/Sphere Media Technologies Co Ltd/2.jpg
97,39,3,技术解决方案,technology solutions,Sphere Media Technologies Co Ltd,SME/Sphere Media Technologies Co Ltd/3.jpg
98,39,4,内容创作,content creation,Sphere Media Technologies Co Ltd,SME/Sphere Media Technologies Co Ltd/4.jpg
